今日电影排行榜
 排名  	　　　电影名称　　　	搜索指数 
 排名  	　　　电影名称　　　	搜索指数 
  1  	　　　　顶楼　　　　	8317 
  2  	　　　　小丑　　　　	1453 
  3  	　　　倩女幽魂　　　	1086 
  4  	　　　生化危机　　　	 990 
  5  	　这个杀手不太冷　　	 976 
  6  	　　普罗米修斯　　　	 970 
  7  	　　　电锯惊魂　　　	 963 
  8  	　　　　信条　　　　	 963 
  9  	　　　　怪物　　　　	 963 
 10  	　　　七宗罪　　　　	 963 
 11  	　　　一级恐惧　　　	 955 
 12  	　　　古墓丽影　　　	 952 
 13  	　　　白夜行　　　　	 940 
 14  	　　　　闪灵　　　　	 936 
 15  	　　　汉尼拔　　　　	 930 
 16  	　　　恶之花　　　　	 924 
 17  	　　英雄无敌3　　　	 923 
 18  	　　　死神来了　　　	 910 
 19  	　　　林中小屋　　　	 895 
 20  	　　沉默的羔羊　　　	 895 
 21  	　　　　泰坦　　　　	 884 
 22  	　　　火柴人　　　　	 876 
 23  	　　　机械师　　　　	 872 
 24  	　　　异度空间　　　	 858 
 25  	　　　杀戮都市　　　	 856 
 26  	　　　恐怖游轮　　　	 849 
 27  	　　　　安娜　　　　	 848 
 28  	　　　罗生门　　　　	 844 
 29  	　　　孤岛惊魂　　　	 843 
 30  	　　　　死寂　　　　	 842 
 31  	　　　丘吉尔　　　　	 840 
 32  	　　　设计师　　　　	 836 
 33  	　　　银翼杀手　　　	 820 
 34  	　　　致命id　　　	 820 
 35  	　　　穆赫兰道　　　	 810 
 36  	　　搏击俱乐部　　　	 806 
 37  	　　　纵横四海　　　	 806 
 38  	　　　　控制　　　　	 794 
 39  	　　　　灰度　　　　	 785 
 40  	　　　杀人回忆　　　	 783 
 41  	　　　双重危机　　　	 775 
 42  	　　疯狂的麦克斯　　	 766 
 43  	　　　金钱帝国　　　	 741 
 44  	　　　饥饿站台　　　	 720 
 45  	　　　摩天大楼　　　	 718 
 46  	　　活死人黎明　　　	 701 
 47  	　　　金刚狼　　　　	 698 
 48  	　东方快车谋杀案　　	 698 
 49  	　　　控方证人　　　	 696 
 50  	　　　饥饿游戏　　　	 693 
今日科幻电影排行榜
 排名  	　　　电影名称　　　	搜索指数 
  1  	　　　正义联盟　　　	3033 
  2  	　　　阿凡达　　　　	2161 
  3  	　　　钢铁侠3　　　	1910 
  4  	环太平洋：雷霆再起　	1655 
  5  	　　　　雷神　　　　	1626 
  6  	　　　心灵奇旅　　　	1431 
  7  	复仇者联盟3：无限战争	1342 
  8  	　　星球大战8　　　	1340 
  9  	　　　　三体　　　　	1319 
 10  	　　　阿凡达2　　　	1192 
 11  	　冰封：重生之门　　	1008 
 12  	　　星际迷航2　　　	 983 
